楼盘性质,楼盘单价,开发商名
住宅,价格待定,杭州卓越城置业有限公司
住宅,价格待定,暂无信息
住宅,价格待定,杭州弘筑置业有限公司 
住宅,价格待定,中铁房地产集团杭州京兆置业有限公司
住宅,价格待定,金隅（杭州）房地产开发有限公司
住宅,价格待定,杭州名城博园置业有限公司
住宅,价格待定,杭州景腾房地产开发有限公司 
住宅,价格待定,杭州安泽房地产开发有限公司 
住宅,价格待定,浙江东日房地产开发有限公司
商业类,价格待定,杭州信全置业有限公司
商业类,价格待定,杭州东宇润城房地产开发有限公司
商业类,价格待定,浙江好安好居置业有限公司
别墅,价格待定,杭州众安房地产开发有限公司
别墅,价格待定,杭州余杭绿城房地产开发有限公司
住宅,价格待定,杭州城发置业发展有限公司
住宅,价格待定,杭州嘉浩房地产开发有限公司
住宅,价格待定,杭州嘉谊置业有限公司
住宅,价格待定,杭州万科大家房地产开发有限公司
住宅,价格待定,杭州北辰置业有限公司
住宅,价格待定,杭州金地香湖房地产开发有限公司
住宅,价格待定,暂无信息
住宅,价格待定,杭州金樽房地产开发有限公司
别墅,价格待定,暂无信息
商业类,价格待定,杭州昊元置业有限公司
住宅,价格待定,杭州高庆房地产有限公司
商业类,均价 40000元/平,杭州欢乐城投资有限公司
住宅,价格待定,杭州润安置业有限公司
住宅,价格待定,浙江新兰得置业有限公司
住宅,价格待定,浙江得力房地产开发有限公司
住宅,价格待定,杭州安源房地产开发有限公司
住宅,价格待定,杭州万通邦信置业有限公司
住宅,价格待定,杭州东晖房地产开发有限公司
住宅,总价 94(万/套),浙江嘉丰房地产开发有限公司 
商业类,价格待定,富邦置业集团有限公司  
住宅,价格待定,淮矿地产（杭州）有限公司
住宅,均价 23740元/平,杭州新东海置业有限公司
住宅,价格待定,杭州越秀房地产开发有限公司
住宅,价格待定,杭州新城鼎佳房地产开发有限公司 
住宅,价格待定,杭溪隆业房地产（杭州）有限公司
住宅,价格待定,杭州林庐房地产开发有限公司 
住宅,价格待定,锦兴房地产开发（杭州）有限公司
住宅,价格待定,杭州恺筑融信房地产开发有限公司
住宅,价格待定,杭州万溢置业有限公司
住宅,价格待定,杭州联富房地产开发有限公司
住宅,价格待定,望华房地产（杭州）有限公司
商业类,价格待定,浙江全景置业有限公司
住宅,价格待定,杭州新城创佳房地产开发有限公司
住宅,价格待定,浙江大华房地产开发有限公司
住宅,价格待定,暂无信息
住宅,价格待定,杭州上实置业有限公司
住宅,价格待定, 杭州碧桂园房地产开发有限公司
住宅,价格待定,暂无信息
住宅,价格待定,杭州中华企业房地产发展有限公司
商业类,价格待定,浙江玉海房地产开发有限公司
住宅,总价 355(万/套),杭州金成金都置业有限公司
别墅,价格待定,杭州金成金都置业有限公司
住宅,价格待定,杭州龙瑞房地产开发有限公司
商业类,价格待定,杭州滨江商博房地产开发有限公司
住宅,价格待定,杭州尚诚置业有限公司
住宅,价格待定,浙江万科南都房地产有限公司
住宅,价格待定,杭州万鼎置业有限公司
住宅,价格待定,招商局地产（杭州）有限公司
住宅,价格待定,暂无信息
住宅,价格待定,杭州滨润房地产开发有限公司
住宅,价格待定,杭州万旭置业有限公司
住宅,总价 172(万/套),浙江华成置业发展有限公司
住宅,价格待定,杭州启富房地产开发有限公司
住宅,价格待定,杭州金来房地产开发有限公司
住宅,价格待定,浙江北大资源地产有限公司
商业类,均价 27000元/平,杭州天泽房地产开发有限公司 
别墅,价格待定,杭州美林房地产开发有限公司
住宅,价格待定,杭州天帆置业有限公司
住宅,总价 182(万/套),杭州亚马逊置业有限公司
住宅,价格待定,浙江南都置业有限公司
住宅,价格待定,杭州金来房地产开发有限公司
住宅,价格待定,杭州京瑞置业有限公司
住宅,均价 31500元/平,杭州濠江房地产开发有限公司 
住宅,价格待定,杭州万通杭昀置业有限公司
住宅,价格待定,暂无信息
住宅,价格待定,杭州首开旭泰房地产开发有限公司
住宅,价格待定,杭州凯华投资有限公司
住宅,价格待定,杭州锦繁置业有限公司
住宅,价格待定,杭州祥生弘远房地产开发有限公司
别墅,总价 621(万/套),杭州百合房地产开发有限公司
商业类,均价 31280元/平,杭州信融置业有限公司
住宅,价格待定,暂无信息
别墅,价格待定,浙江物产良渚花苑房地产开发有限公司
住宅,价格待定,杭州野风欣代房地产开发有限公司 
住宅,价格待定,温州大都市建设开发有限公司余杭分公司
住宅,价格待定,杭州尼罗河置业有限公司
别墅,总价 1678(万/套),杭州尼罗河置业有限公司
住宅,均价 22799元/平,暂无信息
住宅,价格待定,暂无信息
别墅,价格待定,暂无信息
住宅,价格待定,杭州中港绿泰房地产开发有限公司
别墅,总价 2368(万/套),杭州新城创宏房地产开发有限公司
别墅,价格待定,暂无信息
商业类,价格待定,暂无信息
住宅,价格待定,浙江天都实业有限公司
商业类,价格待定,杭州泰地置业有限公司
商业类,价格待定,杭州明石置业有限公司
商业类,价格待定,杭州港龙置业有限公司
住宅,价格待定,杭州西溪山庄房地产开发有限公司
别墅,价格待定,杭州林庐房地产开发有限公司 
商业类,价格待定,杭州新明置业投资有限公司
商业类,均价 40000元/平,杭州中月置业有限公司
住宅,均价 13500元/平,杭州百合房地产开发有限公司
商业类,价格待定,暂无信息
别墅,价格待定,杭州润鸿置业有限公司
别墅,价格待定,杭州滨江盛元海岸房地产开发有限公司
商业类,价格待定,杭州众安盛隆鲤鱼门置业有限公司
别墅,价格待定,杭溪隆业房地产（杭州）有限公司
别墅,价格待定,暂无信息
商业类,价格待定,暂无信息
别墅,价格待定,浙江百家乐房地产开发有限公司
住宅,价格待定,杭州旭广置业有限公司
住宅,价格待定,暂无信息
商业类,价格待定,杭州淘天地房地产开发有限公司
商业类,价格待定,浙江弄口恒祺置业有限公司
商业类,价格待定,杭州余杭奥克斯古墩置业有限公司
住宅,价格待定,杭州恺泽房地产开发有限公司
别墅,价格待定,杭州恺泽房地产开发有限公司
别墅,价格待定,杭州金来房地产开发有限公司
住宅,价格待定,杭州润都房地产开发有限公司
住宅,价格待定,杭州建申房地产开发有限公司
住宅,价格待定,暂无信息
别墅,价格待定,杭州嘉浩房地产开发有限公司
住宅,价格待定,暂无信息
商业类,价格待定,杭州绿凯房地产开发有限公司
住宅,价格待定,杭州梦溪房地产开发有限公司
住宅,价格待定,杭州华瑞房地产开发有限公司
住宅,价格待定,杭州恒和蕾束置业有限公司
别墅,总价 353(万/套),杭州恒和蕾束置业有限公司
住宅,价格待定,暂无信息
住宅,价格待定,杭州洲际房地产开发有限公司 
住宅,总价 190(万/套),杭州明华置业有限公司
别墅,价格待定,杭州明华置业有限公司
别墅,价格待定,桐庐大奇山郡置业有限公司
别墅,价格待定,杭州财和房地产开发有限公司
别墅,价格待定,杭州世茂新里程置业有限公司
商业类,价格待定,杭州新宏房地产开发有限公司
住宅,价格待定,暂无信息
住宅,价格待定,浙江广鸿房地产开发有限公司
住宅,价格待定,广宇集团股份有限公司
别墅,价格待定,杭州开元世纪置业有限公司
住宅,价格待定,顺发恒业有限公司
写字楼,价格待定,海墅房地产开发（杭州）有限公司
商业,均价 40000元/平,浙江和润天成置业有限公司
写字楼,价格待定,杭州富亿房地产开发有限公司
写字楼,价格待定,杭州远洋运河商务区开发有限公司
别墅,总价 600(万/套),杭州梦溪房地产开发有限公司
别墅,总价 1100(万/套),杭州华滋绿城房地产有限公司
商业类,价格待定,杭州理想银泰购物中心有限公司
商业类,价格待定,杭州宝龙房地产开发有限公司
商业类,价格待定,杭州合能房地产开发有限公司
写字楼,均价 23000元/平,杭州淘天地房地产开发有限公司
别墅,价格待定,杭州瑞富房地产开发有限公司
住宅,价格待定,杭州隽安房地产开发有限公司
商业类,价格待定,杭州拓江置业有限公司
住宅,价格待定,杭州龙禧房地产开发有限公司
别墅,总价 1450(万/套),杭州绿野房地产开发有限公司
商业类,均价 25000元/平,杭州大涵置业有限公司
商业类,价格待定,杭州世融汇盈置业有限公司
商业类,价格待定,杭州绿都实业投资有限公司
商业,价格待定,杭州新明置业投资有限公司
住宅,价格待定,杭州澳澜房地产开发有限公司
住宅,价格待定,杭州新融盛耀置业有限公司
住宅,价格待定,杭州蓝源置业有限公司
住宅,价格待定,杭州白鹭房地产开发有限公司
商业,价格待定,浙江卓伟置业有限公司
商业类,价格待定,暂无信息
住宅,价格待定,浙江康誉置业有限公司
住宅,价格待定,暂无信息
别墅,价格待定,杭州钱江城发展有限公司
别墅,价格待定,杭州万宁置业有限公司
商业类,价格待定,杭州富力房地产开发有限公司
别墅,价格待定,杭州益荣房地产开发有限公司
别墅,总价 595(万/套),临安西子房地产开发有限公司
住宅,价格待定,杭州京滨置业有限公司
住宅,均价 15289元/平,杭州临安南洋房地产有限公司
住宅,价格待定,杭州明华置业有限公司
住宅,价格待定,杭州美孚房地产开发有限公司
商业类,价格待定,杭州万通时尚置业有限公司
别墅,价格待定,杭州翡翠城房地产开发有限公司
别墅,价格待定,杭州金世纪房地产开发有限公司
别墅,价格待定,杭州滨江盛元房地产开发有限公司
别墅,总价 600(万/套),富阳东润置业有限公司
别墅,价格待定,浙江南都置业有限公司
住宅,价格待定,淳安大千古街旅游开发有限公司
别墅,价格待定,临安中天房地产开发有限公司
别墅,价格待定,暂无信息
别墅,价格待定,金隅（杭州）房地产开发有限公司
别墅,总价 369(万/套),暂无信息
别墅,总价 72(万/套),浙江三江房地产开发有限公司
住宅,价格待定,杭州龙湖房地产开发有限公司
别墅,价格待定,杭州新城鼎佳房地产开发有限公司 
别墅,价格待定,浙江南都置业有限公司
住宅,价格待定,杭州萧山梅花楼置业有限公司
商业,均价 25000元/平,杭州港龙置业有限公司
商业,均价 35000元/平,暂无信息
商业类,价格待定,暂无信息
住宅,价格待定,杭州百达房地产开发有限公司
住宅,价格待定,杭州长龙置业有限公司
住宅,价格待定,杭州鹏跃置业有限公司
住宅,价格待定,杭州金世纪房地产开发有限公司
住宅,价格待定,杭州益荣房地产开发有限公司
住宅,价格待定,杭州新城德佳房地产开发有限公司
商业,价格待定,暂无信息
住宅,价格待定,杭州瑞金房地产有限公司 
住宅,价格待定,浙江金澳置业有限公司
住宅,价格待定,杭州和昌置业发展有限公司
住宅,价格待定,暂无信息
住宅,价格待定,杭州祥生弘盛房地产开发有限公司
别墅,价格待定,杭州祥生弘盛房地产开发有限公司
住宅,价格待定,杭州融御置业有限公司
别墅,价格待定,杭州奥诚房地产有限公司
住宅,均价 12000元/平,浙江金诺房地产开发有限公司
住宅,均价 16396元/平,暂无信息
住宅,价格待定,杭州朗优置业有限公司
住宅,均价 21100元/平,杭州富阳碧水源房地产有限公司
住宅,价格待定,杭州融汇前江置业有限公司
住宅,价格待定,海宁祥生房地产开发有限公司
住宅,均价 65981元/平,暂无信息
住宅,均价 13000元/平,杭州复泰旅游开发有限公司
别墅,总价 652(万/套),杭州复泰旅游开发有限公司
住宅,价格待定,杭州千岛湖望湖度假村有限公司
住宅,价格待定, 杭州千岛湖房地产开发有限公司
商业,价格待定,杭州尚诚置业有限公司
商业,价格待定,杭州草庄置业有限公司
写字楼,价格待定,杭州中大圣马置业有限公司
别墅,价格待定,暂无信息
商业,价格待定,杭州恒都房地产开发有限公司
写字楼,价格待定,杭州中基太平洋置业有限公司
商业,价格待定,杭州萧水投资置业有限公司
写字楼,价格待定,杭州广盛置业有限公司
商业,价格待定,杭州亿丰亿贤置业有限公司
商业,总价 300(万/套),富阳华都山水房地产开发有限公司 
写字楼,总价 350(万/套),华润置地（杭州）发展有限公司
写字楼,价格待定,杭州海威房地产开发有限公司
写字楼,价格待定,杭州金汇房地产开发有限公司
商业,价格待定,杭州倍邦置业有限公司
商业,价格待定,暂无信息
商业,价格待定,杭州原禾安芯置业有限公司
商业,均价 30000元/平,港中旅成得（杭州）置业有限公司
写字楼,价格待定,暂无信息
住宅,价格待定,杭州鸿都置业有限公司
写字楼,价格待定,绿地控股集团（浙江）房地产开发有限公司
住宅,价格待定,杭州京科置业有限公司
商业,均价 30000元/平,杭州万泽实业发展有限公司
写字楼,价格待定,杭州蒋村新区建设有限公司
商业,价格待定,浙江双鎏置业有限公司
住宅,均价 18928元/平,杭州东海春房地产开发有限公司
写字楼,价格待定,杭州鹏龙实业投资有限公司
商业,均价 60000元/平,杭州安泽房地产开发有限公司 
商业类,价格待定,富阳天鸿房地产开发有限公司
商业类,价格待定,杭州天城房地产开发有限公司
商业,总价 315(万/套),杭州越隽房地产开发有限公司
商业,价格待定,杭州褐石房地产开发有限公司  
商业类,均价 40000元/平,浙江中冠房地产开发有限公司 
写字楼,价格待定,杭州中豪五星国际置业有限公司
别墅,价格待定,杭州钱塘房地产开发集团有限公司
商业,均价 40000元/平,浙江胤超置业有限责任公司
商业,总价 150(万/套),浙江好安好居置业有限公司
商业,总价 200(万/套),杭州万鼎置业有限公司
商业类,价格待定,杭州涛巴京实业有限公司
商业,价格待定,杭州涛巴京实业有限公司
住宅,价格待定,杭州中铁和丰置业有限公司 
住宅,价格待定,杭州滨旭置业有限公司
写字楼,价格待定, 杭州越辉房地产开发有限公司
别墅,价格待定,杭州东晖房地产开发有限公司
住宅,价格待定,杭州金世纪房地产开发有限公司
商业类,均价 40000元/平,杭州纽安能置业有限公司
住宅,价格待定,杭州新城松郡房地产开发有限公司
别墅,价格待定,杭州隽安房地产开发有限公司
写字楼,价格待定,杭州盛旺君投资有限公司
商业,价格待定,杭州恺筑融信房地产开发有限公司
商业,均价 35000元/平,暂无信息
别墅,价格待定,杭州恺融房地产开发有限公司
商业,价格待定,暂无信息
住宅,价格待定,杭州恺融房地产开发有限公司
商业类,价格待定,暂无信息
商业,价格待定,暂无信息
住宅,价格待定,杭州中惠房地产开发有限公司
商业类,价格待定,浙江北大资源地产有限公司
商业类,均价 27000元/平,杭州云泽置业有限公司
住宅,价格待定,暂无信息
住宅,价格待定,杭州滨通房地产开发有限公司
住宅,均价 34742元/平,杭州弘驿置业有限公司
写字楼,价格待定,暂无信息
商业,价格待定,暂无信息
商业,价格待定,暂无信息
商业,均价 22000元/平,杭州余杭雅居乐房地产开发有限公司
商业类,均价 20000元/平,金隅（杭州）房地产开发有限公司
住宅,价格待定,杭州金合置业有限公司
商业类,价格待定,杭州钱江浮山房地产开发有限公司
别墅,总价 660(万/套),杭州中港绿泰房地产开发有限公司
商业类,均价 14500元/平,杭州复泰旅游开发有限公司
商业类,价格待定,暂无信息
写字楼,价格待定,杭州富春硅谷投资有限公司
商业,总价 288(万/套),杭州鹏浩置业有限公司
写字楼,均价 14500元/平,杭州天达置业有限公司
商业类,均价 42000元/平,杭州三花国际大厦有限公司
写字楼,价格待定,杭州合诚置业有限公司
写字楼,均价 45000元/平,浙江爱茵霍芬置业有限公司
写字楼,价格待定,杭州余杭西子置业有限公司
写字楼,价格待定,杭州墅源房地产开发有限公司
写字楼,价格待定,杭州九鑫投资有限公司
别墅,价格待定,杭州通策宝群置业有限公司
住宅,价格待定,杭州恺兴房地产开发有限公司 
写字楼,价格待定,杭州金基房地产开发有限公司
住宅,均价 14000元/平,杭州千岛湖安通房地产开发有限公司
商业,价格待定,暂无信息
商业类,价格待定,暂无信息
写字楼,均价 28000元/平,杭州和景置业有限公司
商业,价格待定,杭州恺筑融信房地产开发有限公司
写字楼,均价 17500元/平,富阳海通房地产有限公司
商业,均价 35000元/平,杭州昆盛房地产开发有限公司
商业,均价 32000元/平,浙江中冠房地产开发有限公司 
住宅,价格待定,杭州融悦房地产开发有限公司
住宅,价格待定,杭州融欣房地产开发有限公司
住宅,价格待定,杭州万宁置业有限公司
住宅,价格待定, 杭州碧桂园房地产开发有限公司
商业类,均价 25000元/平,杭州钧顺房地产开发有限公司
住宅,价格待定,浙江天都实业有限公司
商业,价格待定,招商局地产（杭州）有限公司
别墅,价格待定,杭州新城德佳房地产开发有限公司
商业,价格待定,杭州龙元房地产开发有限公司
住宅,价格待定,杭州祥生弘景房地产开发有限公司
商业,价格待定,暂无信息
商业类,价格待定,浙江恒发置业有限公司
商业类,均价 32000元/平,浙江影视产业国际合作实验区西溪实业有限公司
住宅,价格待定,杭州龙昊房地产开发有限公司
住宅,价格待定,杭州万珑置业有限公司
商业,价格待定,杭州广都投资有限公司
商业,价格待定,杭州博越房地产开发有限公司
商业类,均价 21000元/平,浙江海陆控股集团有限公司
商业,价格待定,杭州首开龙泰房地产开发有限公司
商业,均价 40000元/平,杭州宝旭房地产开发有限公司
商业,均价 80000元/平,杭州天帆置业有限公司
住宅,价格待定,杭州宸远招盛置业有限公司
住宅,价格待定,中维地产浙江有限公司
住宅,价格待定,杭州众旭置业有限公司
商业,价格待定,暂无信息
商业类,均价 35000元/平,浙江一统实业有限公司	
写字楼,价格待定,杭州宋都房地产集团有限公司
住宅,均价 18960元/平,杭州销颖房地产开发有限公司
住宅,价格待定,暂无信息
商业,价格待定,杭州天祥房地产有限公司
商业类,均价 15000元/平,杭州桐庐中欧城开发有限公司
住宅,均价 15338元/平,杭州碧泰置业有限公司
商业类,价格待定,杭州万珑置业有限公司
商业,均价 40000元/平,杭州大涵置业有限公司
商业,价格待定,杭州越秀房地产开发有限公司
别墅,总价 472(万/套),杭州易辰房地产开发有限公司
住宅,价格待定,杭州茂国悦盈置业有限公司
别墅,价格待定,桐庐大奇山郡置业有限公司
住宅,价格待定,杭州中南御锦置业有限公司
别墅,总价 947(万/套),临安金基房地产开发有限公司
住宅,价格待定,杭州融誉房地产开发有限公司
商业,均价 25000元/平,杭州桐庐中欧城开发有限公司
商业类,价格待定,绿地控股集团杭州众银置业有限公司
商业类,均价 34000元/平,杭州中润瑞丰置业有限公司
住宅,均价 18000元/平,桐庐加贝置业有限公司
商业类,价格待定,暂无信息
商业类,均价 24000元/平,杭州华瑞房地产开发有限公司
住宅,价格待定,杭州泓升房地产开发有限公司
商业类,价格待定,杭州西溪汇金置业有限公司 
商业,价格待定,杭州高扬国际贸易有限公司
商业类,均价 45000元/平,杭州亚润置业有限公司
商业,价格待定,杭州中大圣马置业有限公司
商业,均价 25000元/平,暂无信息
住宅,价格待定,杭州美润房地产有限公司
商业,价格待定,杭州新融盛耀置业有限公司
商业类,均价 32000元/平,杭州宇威置业有限公司
住宅,价格待定,杭州鑫贤置业有限公司
商业,均价 50000元/平,杭州复拓置业有限公司
商业类,均价 36000元/平,浙江天伟置业有限公司
商业类,均价 17500元/平,杭州顺程置业有限公司
商业类,价格待定,杭州长裕房地产开发有限公司
住宅,均价 42000元/平,杭州朗优置业有限公司
商业,均价 40000元/平,浙江弄口恒祺置业有限公司
住宅,均价 36700元/平,杭州北辰置业有限公司
住宅,价格待定,暂无信息
商业,价格待定, 杭州旭海置业有限公司
别墅,价格待定,杭州宜品房地产开发有限公司
商业类,价格待定,杭州天马置业有限公司
住宅,价格待定,杭州隽烜房地产开发有限公司
住宅,价格待定,杭州绿峰置业有限公司
住宅,价格待定,杭州信鸿置业有限公司
商业类,均价 48000元/平,暂无信息
住宅,价格待定,杭州鑫湖置业有限公司
商业类,均价 24000元/平,杭州富春硅谷投资有限公司
写字楼,价格待定,暂无信息
别墅,价格待定,杭州富阳融创置业有限公司
