,楼盘性质,楼盘单价,开发商名
32,商业类,均价 21000元/平,杭州禹禾房地产开发有限公司
33,住宅,总价 200-270(万/套),杭州万胜房地产开发有限公司
34,别墅,总价 513-966(万/套),杭州帝凯房地产开发有限公司
35,别墅,总价 700(万/套),杭州东海春房地产开发有限公司
36,别墅,总价 503-650(万/套),杭州千岛湖新天地文化发展有限公司
37,别墅,总价 850(万/套),富阳野风乐多房地产开发有限公司
38,商业类,均价 28000元/平,浙江信维信息科技有限公司
39,商业类,均价 22000元/平,浙江永和房地产开发有限公司
40,商业类,均价 16000元/平,浙江杭报金都创意产业发展有限公司
41,商业类,均价 24000元/平,浙江万融置业有限公司
42,商业类,均价 38000元/平,绿地控股集团杭州东城房地产开发有限公司
43,商业,均价 46000元/平,招商局地产（杭州）有限公司
44,商业,均价 17000元/平,杭州温商机电实业有限公司
45,商业,均价 21000元/平,杭州加悦都实业有限公司
46,别墅,总价 3500(万/套),杭州林庐房地产开发有限公司 
47,商业,均价 50000元/平,杭州万通时尚置业有限公司
48,商业类,均价 26000元/平,杭州盈坤置业有限公司
49,商业类,均价 24798元/平,杭州港联置业有限公司
50,写字楼,均价 43000元/平,亚洲包装中心有限公司
51,住宅,均价 9000元/平,浙江天骄置业有限公司
52,住宅,均价 17000元/平,桐庐飘鹰置业有限公司
53,别墅,总价 530-745(万/套),杭州金宇房地产开发有限公司
54,写字楼,均价 36000元/平,杭州泰悦置业有限公司
55,写字楼,均价 30000元/平,浙江华运信德房地产开发有限公司
56,住宅,均价 14000元/平,广州富力地产股份有限公司
57,底商,均价 55000元/平,暂无信息
58,住宅,均价 21600元/平,杭州越秀房地产开发有限公司
59,住宅,均价 18500元/平, 浙江佳源房地产集团有限公司
60,写字楼,均价 23000元/平,暂无信息
61,商业类,均价 18000元/平,杭州东部大学科技园建设有限公司
62,写字楼,均价 24000元/平,浙江万融置业有限公司
63,别墅,总价 336-480(万/套),浙江天骄置业有限公司
64,别墅,总价 1200-1500(万/套),杭州绿城银湖置业有限公司
65,商业类,均价 26000元/平,杭州宝力康华置业有限公司
66,别墅,总价 1700(万/套),杭州富阳万科房地产开发有限公司
67,写字楼,均价 27000元/平,杭州奥克斯置业有限公司
68,住宅,均价 20500元/平,杭州祥生弘达房地产开发有限公司
69,商业类,均价 47000元/平,杭州龙都置业有限公司
70,住宅,均价 19000元/平,杭州励骏置业有限公司
71,住宅,均价 12000元/平,杭州爱丽娜房地产开发有限公司
72,商业类,均价 25000元/平,中维地产浙江有限公司
73,住宅,均价 19000元/平,桐庐桐鑫房地产开发有限公司
74,住宅,均价 8000元/平,杭州冠富房地产开发有限公司
75,写字楼,均价 16000元/平,杭州汇高置地有限公司
76,写字楼,均价 25000元/平,浙江影视产业国际合作实验区西溪实业有限公司
77,住宅,均价 10700元/平,杭州临安佳伟房地产开发有限公司
78,住宅,价格待定,杭州临安朗茂置业有限公司
79,别墅,总价 450(万/套),杭州爱丽娜房地产开发有限公司
80,写字楼,均价 23000元/平,杭州祥瑞汽车产业园开发有限公司
81,商业,均价 13500元/平,杭州新天地集团有限公司
82,商业类,均价 35000元/平,杭州万璟置业有限公司
83,商业类,均价 48000元/平,杭州成禾房地产开发有限公司
84,别墅,总价 270-426(万/套),杭州绿地锦城房地产开发有限公司
85,底商,均价 35000元/平,杭州圆汇投资置业有限公司
86,商业类,均价 28000元/平,杭州望云房地产开发有限公司
87,商业,均价 25000元/平,杭州汇和置业有限公司
88,住宅,价格待定,杭州中冶名锦房地产开发有限公司
89,商业类,均价 65000元/平,杭州中冶名锦房地产开发有限公司
90,住宅,均价 8600元/平,杭州盛建置业有限公司
91,商业,均价 49000元/平, 杭州成禾房地产开发有限公司
92,住宅,均价 15000元/平,杭州千岛湖浙远房地产开发有限公司
93,底商,均价 27000元/平,杭州北辰置业有限公司
94,住宅,均价 12000元/平,临安云海置业有限公司
95,底商,均价 43750元/平,杭州汇辉置业有限公司
96,商业类,均价 16500元/平,杭州青山湖森林硅谷开发有限公司
97,写字楼,均价 21000元/平,杭州理想银泰购物中心有限公司
98,住宅,均价 19500元/平,杭州远邦房地产开发有限公司
99,商业类,均价 35000元/平,杭州商庭房地产开发有限公司
100,商业,均价 90000元/平,杭州禾睿房地产开发有限公司
101,商业,价格待定,杭州望云房地产开发有限公司
102,商业类,均价 29000元/平,杭州名宸置业有限公司
103,商业类,均价 38000元/平,杭州龙合实业有限公司
104,住宅,均价 45000元/平,杭州恒兴置业有限公司
105,商业类,均价 12000元/平,浙江临安环球交通物流有限公司
106,住宅,均价 14000元/平,杭州融阳政房地产开发有限公司
107,商业类,均价 29000元/平,杭州启迪协信建塘科技发展有限公司
108,商业类,均价 27500元/平,杭州西江置业有限公司
109,商业类,均价 35000元/平,杭州西投绿城置业有限公司
110,商业类,均价 48000元/平,杭州融威置业有限公司
111,住宅,均价 22000元/平,杭州景扬置业有限公司
112,写字楼,均价 31000元/平,杭州国逸实业有限公司
113,写字楼,均价 27000元/平,暂无信息
114,住宅,均价 22000元/平,杭州富睿置业有限公司
115,住宅,均价 18500元/平,杭州美煜房地产发展有限公司
116,别墅,总价 310-550(万/套),杭州美煜房地产发展有限公司
117,商业类,均价 31000元/平,杭州骏功置业有限公司
118,住宅,均价 18600元/平,杭州嘉怡置业有限公司
119,住宅,均价 15200元/平,杭州新湖鸬鸟置业有限公司
120,别墅,总价 260(万/套),杭州新湖鸬鸟置业有限公司
121,别墅,价格待定,杭州新惠房地产开发有限公司
122,住宅,均价 20000元/平,杭州轩湖房地产开发有限公司
123,别墅,总价 600(万/套),杭州融阳政房地产开发有限公司
124,底商,均价 40000元/平,杭州睿都置业有限公司
125,住宅,均价 11000元/平,杭州融旺房地产开发有限公司
126,住宅,均价 22000元/平,杭州祥生弘腾房地产开发有限公司
127,商业类,均价 35000元/平,杭州望景置业有限公司
128,别墅,总价 280-380(万/套),杭州精文文广投资有限公司
129,住宅,均价 32000元/平,杭州保利建嘉房地产开发有限公司
130,住宅,均价 10500元/平,杭州嘉缘房地产开发有限公司
131,住宅,均价 14500元/平,杭州汤姆房地产开发有限公司
132,住宅,均价 19099元/平,杭州美生美置业有限公司
133,别墅,总价 481-483(万/套),杭州越城房地产开发有限公司
134,别墅,总价 486-660(万/套),杭州富耀置业有限公司
135,商业类,均价 30000元/平,杭州世腾置业有限公司
136,底商,均价 37000元/平,杭州润庆置业有限公司
137,商业类,均价 31000元/平,杭州恒兴置业有限公司
138,住宅,均价 24000元/平,杭州昌茂置业有限公司
139,商业类,均价 22000元/平,杭州公望置业有限公司
140,住宅,均价 16000元/平,尚雅置业（杭州）有限公司
141,别墅,总价 266-315(万/套),尚雅置业（杭州）有限公司
142,商业类,均价 15000元/平,杭州君元数字科技有限公司
143,商业类,均价 23000元/平,杭州空港置业有限公司
144,别墅,总价 536(万/套),浙江新广发置业有限公司
145,商业,均价 43000元/平,嘉凯城城镇化建设发展（余杭闲林）有限公司
146,商业,均价 40000元/平,杭州西曙置业有限公司
147,商业类,均价 28000元/平,杭州新天地集团有限公司
148,住宅,均价 9800元/平,杭州越城房地产开发有限公司
149,住宅,均价 13300元/平,杭州澳澜房地产开发有限公司
150,住宅,均价 26200元/平,杭州祥生弘图房地产开发有限公司
151,住宅,均价 12000元/平,淳安润枫房地产开发有限公司
152,商业类,均价 32000元/平,杭州赞成美树置业有限公司
153,别墅,总价 850-1000(万/套),浙江暄竺实业有限公司
154,住宅,均价 21900元/平,杭州富耀置业有限公司
155,商业类,均价 25000元/平,杭州北麓房地产开发有限公司
156,商业类,均价 35000元/平,杭州港郦置业有限公司
157,住宅,均价 29800元/平,杭州秦茂置业有限公司
158,住宅,均价 25600元/平,杭州兴塘置业有限公司
159,住宅,均价 29800元/平,杭州锦宁置业有限公司
160,商业类,均价 37000元/平,杭州九耀置业有限公司
161,住宅,均价 25600元/平,杭州南璟置业有限公司
162,住宅,均价 22500元/平,杭州运塘房地产开发有限公司
163,别墅,总价 344-350(万/套),杭州运塘房地产开发有限公司
164,住宅,均价 18000元/平,淳安千岛湖森垄房地产开发有限公司
165,别墅,总价 565-898(万/套),杭州国申房地产开发有限公司
166,写字楼,均价 11000元/平,杭州越秀房地产开发有限公司
167,底商,均价 65000元/平,杭州融威置业有限公司
168,住宅,均价 10000元/平,淳安汇和房地产开发有限公司
169,住宅,均价 29000元/平,浙江星望置业有限公司
170,别墅,总价 351-358(万/套),淳安怡和置业有限公司
171,住宅,均价 19000元/平,杭州翠祥房地产有限公司
172,住宅,均价 36800元/平,甘建投（杭州）房地产有限公司
173,住宅,均价 22000元/平,杭州富阳乘光置业有限公司
174,写字楼,均价 22000元/平,杭州宏晟置业有限公司
175,住宅,均价 8800元/平,杭州弘涵房地产开发有限公司
176,商业,均价 50000元/平,嘉凯城城镇化建设发展（余杭星桥）有限公司
177,别墅,总价 220-530(万/套),杭州耕织园农业开发有限公司
178,住宅,均价 21000元/平,银城地产集团股份有限公司
179,商业类,均价 40000元/平,中锦联城控股有限公司
180,住宅,均价 20500元/平,杭州众安银晟置业有限公司
181,写字楼,均价 80000元/平,杭州信达奥体置业有限公司
182,住宅,均价 19800元/平,杭州景科房地产开发有限公司
183,住宅,均价 18000元/平,杭州瑞盛房地产开发有限公司
184,住宅,均价 31350元/平,杭州锦棠置业有限公司
185,住宅,均价 33500元/平,杭州滨锦房地产开发有限公司
186,住宅,价格待定,正腾置业（杭州）有限公司
187,住宅,价格待定,杭州鸿扬投资管理有限公司
188,住宅,价格待定,杭州鸿扬投资管理有限公司
189,写字楼,均价 48000元/平,杭州融威置业有限公司
190,写字楼,均价 67000元/平,浙江华峰房地产开发有限公司
191,底商,均价 40000元/平,杭州瑞进合能房地产开发有限公司
192,住宅,均价 38000元/平,杭州信尔置业有限公司
193,住宅,均价 16000元/平,杭州韵致科技有限公司
194,别墅,总价 525-645(万/套),杭州临安西子房地产开发有限公司
195,住宅,均价 28500元/平,杭州骏熠置业有限公司
196,住宅,均价 22600元/平,杭州华城房地产开发有限公司
197,住宅,均价 19800元/平,杭州星淑置业有限公司
198,住宅,价格待定,杭州融琴置业有限公司
199,住宅,价格待定,杭州滨拓企业管理有限公司
200,别墅,总价 551-933(万/套),杭州云石仙女湖置业有限公司
201,住宅,均价 29000元/平,杭州轩源实业有限公司
202,住宅,价格待定,杭州融珏实业有限公司
203,住宅,价格待定,杭州沃都房地产开发有限公司
204,住宅,价格待定,杭冠置业（杭州）有限公司
205,别墅,价格待定,杭冠置业（杭州）有限公司
206,别墅,总价 360-450(万/套),杭州鑫澜置业有限公司
207,别墅,总价 354-455(万/套),杭州众汇置业有限公司
208,住宅,价格待定,杭州英蓝置业有限公司
209,写字楼,价格待定,杭州滨硕实业有限公司
210,住宅,价格待定,杭州大江东地产开发有限公司
211,住宅,均价 18900元/平,杭州青曼置业有限公司
212,住宅,均价 24500元/平,杭州熙华房地产开发有限公司
213,住宅,均价 22500元/平,杭州临安西子房地产开发有限公司
214,住宅,均价 16500元/平,杭州辉都置业有限公司
215,住宅,均价 33400元/平,杭州龙悦有限公司
216,商业类,价格待定,招商局地产（杭州）有限公司
217,住宅,均价 66000元/平,杭州滨兴实业有限公司
218,住宅,价格待定,杭州滨甬实业有限公司
219,住宅,价格待定,华润新鸿基房地产（杭州）有限公司
220,住宅,价格待定,杭州地上房地产集团有限公司
221,住宅,价格待定,杭州新城骏宏恒锦房地产开发有限公司
222,商业类,价格待定,平高置业（杭州）有限公司
223,住宅,价格待定,杭州富阳景莱房地产开发有限公司
224,住宅,价格待定,杭州启祥房地产开发有限公司
225,住宅,价格待定,杭州市房地产开发集团有限公司
226,住宅,价格待定,杭州浩都房地产开发有限公司
227,商业类,均价 38000元/平,浙江赛智建设有限公司
228,住宅,价格待定,杭州中海海跃房地产有限公司
229,写字楼,均价 50000元/平,杭州兆顺房地产有限公司
230,住宅,均价 36100元/平,杭州润汀商业地产有限公司
231,住宅,均价 33000元/平,杭州保源置业有限公司
232,别墅,总价 1000-1900(万/套),富春江旅游度假区开发有限公司
233,别墅,总价 420(万/套),杭州辉都置业有限公司
234,住宅,均价 24000元/平,杭州星桂置业有限公司
235,住宅,价格待定,绿城房地产集团有限公司
236,住宅,均价 11000元/平,杭州恒晨置业有限公司
237,住宅,价格待定,杭州新黄浦滨致房地产开发有限公司
238,住宅,均价 46500元/平,金隅悦潮（杭州）房地产开发有限公司
239,住宅,均价 16100元/平,杭州德信临滨置业有限公司
240,别墅,价格待定,杭州华城房地产开发有限公司
241,住宅,均价 25000元/平,杭州嘉境房地产开发有限公司
242,写字楼,均价 26000元/平,杭州裕捷置业有限公司
243,写字楼,均价 20000元/平,平高置业（杭州）有限公司
244,住宅,价格待定,杭州绿金匠心置地有限公司
245,别墅,价格待定,杭州绿金匠心置地有限公司
246,住宅,价格待定,杭州嘉腾交控西站有限公司
247,住宅,价格待定,杭州滨晨房地产开发有限公司
248,住宅,价格待定,杭州新黄浦滨顺房地产开发有限公司
249,住宅,价格待定,杭州嘉颂房地产开发有限公司
250,住宅,价格待定,杭州会林盛和置业有限公司
251,住宅,均价 21300元/平,杭州滨耀置业有限公司
252,住宅,价格待定,杭州锦宇房地产开发有限公司
253,住宅,价格待定,杭州祥生弘德房地产开发有限公司
254,住宅,价格待定,杭州越文房地产开发有限公司
255,住宅,价格待定,中天建设集团有限公司
256,住宅,价格待定,浙江天都实业有限公司
257,商业类,价格待定,杭州钱和置业有限公司
258,别墅,价格待定,杭州滨江房产集团股份有限公司
259,底商,均价 35000元/平,杭州东望房地产开发有限公司
260,写字楼,均价 13000元/平,杭州东望房地产开发有限公司
261,住宅,价格待定,桐庐县金枝房地产开发有限公司
262,住宅,均价 30500元/平,杭州凤溪置业有限公司
263,商业,均价 35000元/平,杭州南璟置业有限公司
264,住宅,价格待定,杭州临安曙光商贸有限公司
265,住宅,价格待定,杭州滨建房地产开发有限公司
266,住宅,价格待定,杭州中海海犇房地产有限公司
267,商业类,均价 12000元/平,杭州和源置业有限公司
268,写字楼,均价 30000元/平,杭州龙悦有限公司
269,住宅,价格待定,杭州滨麟置业有限公司
270,别墅,价格待定,杭州银昇置业有限公司
271,住宅,价格待定,杭州北榆房地产开发有限公司
272,住宅,价格待定,广州粤港湾投资有限公司
273,住宅,价格待定,杭州鑫语置业有限公司
274,写字楼,均价 25000元/平,杭州海悦地产有限公司
275,商业,均价 45000元/平,杭州宝龙桃源实业发展有限公司
276,住宅,价格待定,杭州浙怡置业有限公司
277,写字楼,价格待定,绿地控股集团杭州东城房地产开发有限公司
278,住宅,价格待定,杭州银昇置业有限公司
279,住宅,价格待定,杭州伟星置业有限公司
280,底商,均价 45000元/平,杭州中璟邦达置业有限公司
281,住宅,均价 20000元/平,桐庐兆禧房地产有限公司
282,别墅,价格待定,桐庐兆禧房地产有限公司
283,写字楼,价格待定,杭州滨绍房地产开发有限公司
284,底商,均价 45000元/平,杭州宝龙桃源实业发展有限公司
285,别墅,总价 500(万/套),杭州青曼置业有限公司
286,写字楼,价格待定,杭州天坤实业有限公司
287,别墅,总价 1239-1260(万/套),浙江昆源房地产开发有限公司
288,别墅,均价 34000元/平,浙江森野房地产开发有限公司
289,商业类,均价 14500元/平,浙江艺博汇家饰城经营管理有限公司
290,住宅,均价 14000元/平,宁波杭州湾新区华旅置业有限公司
291,住宅,均价 17000元/平,同焜房地产开发（嘉善）有限公司
292,住宅,均价 24000元/平,绍兴金昌展业置业有限公司
293,住宅,均价 12500元/平,光明房地产集团股份有限公司
294,住宅,均价 7700元/平,绍兴嵊州品冠置业有限公司
295,别墅,总价 290-460(万/套),绍兴嵊州品冠置业有限公司
296,住宅,均价 14000元/平,港中旅（安吉）旅游发展有限公司
297,别墅,总价 300-360(万/套),港中旅（安吉）旅游发展有限公司
298,住宅,均价 7500元/平,长兴万鑫房地产开发有限公司
299,住宅,均价 18000元/平,安吉云顶置业有限公司
300,住宅,均价 8500元/平,浙江欣龙房地产开发有限公司
301,住宅,均价 30000元/平,绍兴汀光房地产开发有限公司
302,商业类,均价 17500元/平,绍兴市金翔置业有限公司
303,住宅,均价 13000元/平,宁波杭州湾新区海泉湾旅游开发有限公司
304,住宅,均价 15500元/平,嘉兴诺屹置业有限公司
305,住宅,均价 15000元/平,中荣地产（杭州）有限公司
306,住宅,均价 13000元/平,浙江均旭房地产开发有限公司
307,住宅,均价 12700元/平,湖州金睿置业有限公司
308,住宅,均价 14000元/平,浙江湖州宝辉房地产开发有限公司
309,商业类,均价 16500元/平,浙江伟业房产集团有限公司
310,住宅,均价 8600元/平,湖州锦瑞置业有限公司
311,住宅,均价 13500元/平,睿奥（嘉兴）房地产开发有限责任公司
312,别墅,总价 250-480(万/套),诸暨颐和康养度假产业开发有限公司
313,住宅,均价 26500元/平,绍兴宝泰置业有限公司
314,住宅,均价 19000元/平,绍兴越胜房地产开发有限公司
315,住宅,均价 24000元/平,绍兴茂旭置业有限公司
316,住宅,均价 11000元/平,桐乡金鸿嘉置业有限公司
317,住宅,均价 18500元/平,绍兴裕隆房地产开发有限公司
318,住宅,均价 12000元/平,绍兴金屹房地产开发有限公司
319,住宅,均价 7500元/平,绍兴鑫川置业有限公司
320,别墅,总价 270-310(万/套),绍兴鑫川置业有限公司
321,别墅,总价 390(万/套),绍兴拓石置业有限公司
322,住宅,均价 18125元/平,桐乡市濮院旅游有限公司
323,住宅,均价 17973元/平,桐乡市濮院旅游有限公司
324,住宅,均价 10900元/平,海盐鸿科地置业有限公司
325,住宅,均价 24300元/平,绍兴荣杭房地产开发有限公司
326,住宅,均价 14500元/平,浙江嘉兴金乾房地产开发有限公司
327,商业,均价 30000元/平,嘉凯城城镇化建设发展(绍兴)有限公司
328,住宅,均价 7600元/平,绍兴瑜杰房地产开发有限公司
329,商业,均价 30000元/平,绍兴新滨房地产开发有限公司
330,别墅,总价 647-665(万/套),暂无信息
331,住宅,均价 27600元/平,保亿悦城（绍兴）房地产开发有限公司
332,住宅,均价 15500元/平,海宁鸿恩置业有限公司
333,别墅,总价 1100(万/套),诸暨颐和置业有限公司
334,住宅,均价 24300元/平,绍兴香州置业有限公司
335,住宅,均价 19800元/平,绍兴益驰置业有限公司
336,别墅,总价 400-637(万/套),绍兴颐康置业有限公司
337,住宅,均价 23500元/平,绍兴星尚置业有限公司
338,住宅,均价 21666元/平,武汉地产绍兴统建城市开发有限公司
339,住宅,均价 23800元/平,绍兴金翎置业有限公司
340,住宅,均价 12500元/平,绍兴柯桥宝红房地产开发有限公司
341,住宅,均价 18500元/平,绍兴聚嵘置业有限公司
342,商业,均价 30000元/平,绍兴可萌房地产开发有限公司
343,住宅,均价 9380元/平,绍兴鸿裕置业有限公司
344,住宅,均价 15800元/平,桐乡市匠心房地产开发有限公司
345,住宅,均价 17500元/平,桐乡市嘉筑置业有限公司
346,住宅,均价 16900元/平,嘉善骏跃房地产开发有限公司
347,住宅,均价 18000元/平,嘉善县世纪房产开发有限公司
348,住宅,均价 13750元/平,浙江科大实业投资集团有限公司
349,别墅,总价 230-310(万/套),绍兴市上虞舜泰房产开发有限公司
350,住宅,均价 24500元/平,海宁鸿杭置业有限公司
351,住宅,均价 14000元/平,海宁金越房地产开发有限公司
352,住宅,均价 13000元/平,暂无信息
353,住宅,均价 25000元/平,浙江万城实业集团有限公司
354,商业,均价 11000元/平,绍兴远大房地产开发有限公司
355,住宅,均价 12000元/平,海宁华欣房产有限公司
356,别墅,总价 271-311(万/套),海宁华欣房产有限公司
357,商业类,均价 11000元/平,诸暨颐和置业有限公司
358,别墅,总价 416-680(万/套),湖州海王康山置业发展有限公司
359,住宅,均价 13000元/平,浙江万城实业集团有限公司
360,住宅,均价 8800元/平,嵊州新邻里置业有限公司
361,住宅,均价 24500元/平,浙江万城实业集团有限公司
362,住宅,均价 13300元/平,宁波杭州湾新区海鹏置业有限公司
363,住宅,均价 22400元/平,融创
364,住宅,均价 13770元/平,绍兴亿晋房地产开发有限公司
365,住宅,均价 18963元/平,桐乡市濮院旅游有限公司
366,住宅,均价 12650元/平,嘉兴市嘉川房地产开发有限公司
367,住宅,均价 8500元/平,暂无信息
368,别墅,总价 450(万/套),嘉兴市嘉川房地产开发有限公司
369,住宅,均价 14000元/平,绍兴明石置业有限公司
370,住宅,均价 15500元/平,湖州美安置业有限公司
371,住宅,均价 19750元/平,嘉兴裕恒房地产开发有限公司
372,住宅,均价 8800元/平,浙江亿和房地产开发有限公司
373,住宅,均价 14500元/平,诸暨市亿昌房地产开发有限公司
374,住宅,均价 22500元/平,绍兴越辉置业有限公司
375,住宅,均价 11000元/平,湖州悦馨置业有限公司
376,住宅,均价 12800元/平,宁波杭州湾天美欢乐家园置地有限公司
377,商业,均价 15000元/平,嵊州新邻里置业有限公司
378,住宅,均价 12750元/平,嘉兴筑垣置业有限公司
379,住宅,均价 20100元/平,嘉兴万昆房地产开发有限公司
380,住宅,均价 13000元/平,嘉善鸿翔中金置业有限公司
381,写字楼,均价 15000元/平,嘉兴润桐置业有限公司
382,住宅,均价 12800元/平,嘉兴市秀鑫置业有限公司
383,写字楼,均价 22000元/平,地盛集团股份有限公司
384,住宅,均价 12430元/平,湖州正黄置业有限公司
385,住宅,均价 13500元/平,湖州竹胜园房地产有限公司
386,住宅,均价 24000元/平,嘉兴金桐房地产开发有限公司
387,住宅,均价 22500元/平,嘉兴瑞达运营管理有限公司
388,别墅,总价 330-400(万/套),睿奥（嘉兴）房地产开发有限责任公司
389,商业,均价 11000元/平,诸暨市诸邦置业有限公司
390,住宅,均价 16800元/平,嘉兴万贤建设开发有限公司
391,别墅,总价 550-1200(万/套),湖州竹胜园房地产有限公司
392,住宅,均价 15000元/平,平湖市鸿正房地产开发有限公司
393,住宅,均价 22500元/平,嘉兴锦川置业有限公司
394,商业,均价 10000元/平,湖州织里浙北大厦购物广场有限公司
395,住宅,均价 13500元/平,嘉兴卓航房地产开发有限公司
396,住宅,均价 31000元/平,绍兴新樾置业有限公司
397,酒店式公寓,均价 9800元/平,绍兴中泰投资置业有限公司
398,住宅,均价 14050元/平,嘉兴锦致置业有限公司
399,别墅,总价 1000(万/套),嘉兴锦致置业有限公司
400,住宅,均价 13000元/平,诸暨康宇房地产开发有限公司
401,住宅,均价 15650元/平,嘉兴臻和置业有限公司
402,住宅,均价 9500元/平,诸暨市远光置业有限公司
403,住宅,均价 23062元/平,桐乡市桐新房地产开发有限公司
404,别墅,总价 350(万/套),湖州悦馨置业有限公司
405,住宅,均价 18000元/平,绍兴云辉置业有限公司
406,别墅,价格待定,暂无信息
407,住宅,总价 268(万/套),杭州启辉置业有限公司
408,住宅,均价 20800元/平,浙江南都置业有限公司
409,住宅,价格待定,杭州万璟置业有限公司
410,住宅,均价 30700元/平,杭州金宸房地产开发有限公司
411,别墅,总价 915(万/套),杭州振兴置业投资有限公司
412,商业类,价格待定,暂无信息
413,商业类,均价 23000元/平,杭州嘉融置业有限公司
414,别墅,总价 388(万/套),杭州创华置业有限公司
415,别墅,价格待定,杭州绿九启奥置业有限公司
416,别墅,价格待定,杭州融悦房地产开发有限公司
417,住宅,均价 40230元/平,杭州盛寅房地产开发有限公司
418,住宅,价格待定,杭州恺泽房地产开发有限公司
419,住宅,均价 59200元/平,金隅中铁诺德（杭州）房地产开发有限公司
420,住宅,均价 47170元/平,兴茂置业（杭州）有限公司
421,住宅,均价 24652元/平,杭州金兴房地产开发有限公司
422,别墅,总价 1284(万/套),杭州盛寅房地产开发有限公司
423,别墅,总价 283(万/套),杭州碧城置业有限公司
424,住宅,均价 33300元/平,杭州滨欣房地产开发有限公司
425,住宅,均价 25200元/平,杭州滨翰房地产开发有限公司
426,别墅,价格待定,杭州良悦置业有限公司
427,别墅,总价 836(万/套),杭州滨翰房地产开发有限公司
428,别墅,总价 2300(万/套),杭州金泓置业有限公司
429,别墅,总价 500(万/套),杭州碧泰置业有限公司
430,别墅,价格待定,暂无信息
431,别墅,价格待定,杭州亚马逊置业有限公司
432,别墅,价格待定,杭州都成置业有限公司
433,别墅,价格待定,杭州泓升房地产开发有限公司
434,别墅,价格待定,杭州恺兴房地产开发有限公司 
435,商业类,均价 23000元/平,杭州新城美佳房地产开发有限公司
436,住宅,均价 15000元/平,临安鸿盛房地产开发有限公司
437,别墅,价格待定,杭州销颖房地产开发有限公司
438,住宅,价格待定,杭州金渝房地产开发有限公司
439,别墅,总价 410(万/套),暂无信息
440,商业类,均价 21000元/平,杭州朗正置业有限公司
441,住宅,价格待定,杭州融恒置业有限公司
442,住宅,价格待定,浙江国恒西溪置业有限公司
443,住宅,总价 283(万/套),杭州东田上庭置业有限公司
444,住宅,价格待定,暂无信息
445,别墅,总价 871(万/套),杭州北辰置业有限公司
446,住宅,总价 628(万/套),杭州融浩置业有限公司
447,别墅,总价 2400(万/套),暂无信息
448,住宅,价格待定,杭州丽湖房地产开发有限公司
449,住宅,价格待定,杭州绿城东和置业有限公司
450,别墅,总价 469(万/套),杭州龙湖房地产开发有限公司
451,别墅,价格待定,杭州鑫贤置业有限公司
452,别墅,总价 526(万/套),杭州滨宏房地产开发有限公司
453,住宅,价格待定,杭州万霖置业有限公司
454,住宅,价格待定,杭州越荣房地产开发有限公司
455,住宅,均价 21300元/平,杭州碧辰置业有限公司
456,住宅,均价 26318元/平,浙江德盛置业有限公司
457,商业类,均价 23000元/平,杭州开元世纪置业有限公司
458,住宅,价格待定,杭州金昇房地产开发有限公司
459,住宅,均价 56000元/平,绿地控股集团杭州东城房地产开发有限公司
460,底商,价格待定,杭州西溪汇金置业有限公司 
461,住宅,价格待定,杭州景帆置业有限公司
462,住宅,均价 18156元/平,杭州碧悦置业有限公司
463,住宅,均价 11500元/平,杭州晶华房地产开发有限公司
464,别墅,总价 400(万/套),杭州恺泽房地产开发有限公司
465,住宅,均价 45800元/平,杭州三湘印象置业有限公司
