楼盘性质,楼盘单价,开发商名
住宅,均价 19750元/平,嘉兴裕恒房地产开发有限公司
住宅,均价 8800元/平,浙江亿和房地产开发有限公司
住宅,均价 14500元/平,诸暨市亿昌房地产开发有限公司
住宅,均价 22500元/平,绍兴越辉置业有限公司
住宅,均价 11000元/平,湖州悦馨置业有限公司
住宅,均价 12800元/平,宁波杭州湾天美欢乐家园置地有限公司
商业,均价 15000元/平,嵊州新邻里置业有限公司
住宅,均价 12750元/平,嘉兴筑垣置业有限公司
住宅,均价 20100元/平,嘉兴万昆房地产开发有限公司
住宅,均价 13000元/平,嘉善鸿翔中金置业有限公司
写字楼,均价 15000元/平,嘉兴润桐置业有限公司
住宅,均价 12800元/平,嘉兴市秀鑫置业有限公司
写字楼,均价 22000元/平,地盛集团股份有限公司
住宅,均价 12430元/平,湖州正黄置业有限公司
住宅,均价 13500元/平,湖州竹胜园房地产有限公司
住宅,均价 24000元/平,嘉兴金桐房地产开发有限公司
住宅,均价 22500元/平,嘉兴瑞达运营管理有限公司
别墅,总价 330-400(万/套),睿奥（嘉兴）房地产开发有限责任公司
商业,均价 11000元/平,诸暨市诸邦置业有限公司
住宅,均价 16800元/平,嘉兴万贤建设开发有限公司
别墅,总价 550-1200(万/套),湖州竹胜园房地产有限公司
住宅,均价 15000元/平,平湖市鸿正房地产开发有限公司
住宅,均价 22500元/平,嘉兴锦川置业有限公司
商业,均价 10000元/平,湖州织里浙北大厦购物广场有限公司
住宅,均价 13500元/平,嘉兴卓航房地产开发有限公司
住宅,均价 31000元/平,绍兴新樾置业有限公司
酒店式公寓,均价 9800元/平,绍兴中泰投资置业有限公司
住宅,均价 14050元/平,嘉兴锦致置业有限公司
别墅,总价 1000(万/套),嘉兴锦致置业有限公司
住宅,均价 13000元/平,诸暨康宇房地产开发有限公司
住宅,均价 15650元/平,嘉兴臻和置业有限公司
住宅,均价 9500元/平,诸暨市远光置业有限公司
住宅,均价 23062元/平,桐乡市桐新房地产开发有限公司
别墅,总价 350(万/套),湖州悦馨置业有限公司
住宅,均价 18000元/平,绍兴云辉置业有限公司
别墅,价格待定,暂无信息
住宅,总价 268(万/套),杭州启辉置业有限公司
住宅,均价 20800元/平,浙江南都置业有限公司
住宅,价格待定,杭州万璟置业有限公司
住宅,均价 30700元/平,杭州金宸房地产开发有限公司
别墅,总价 915(万/套),杭州振兴置业投资有限公司
商业类,价格待定,暂无信息
商业类,均价 23000元/平,杭州嘉融置业有限公司
别墅,总价 388(万/套),杭州创华置业有限公司
别墅,价格待定,杭州绿九启奥置业有限公司
别墅,价格待定,杭州融悦房地产开发有限公司
住宅,均价 40230元/平,杭州盛寅房地产开发有限公司
住宅,价格待定,杭州恺泽房地产开发有限公司
住宅,均价 59200元/平,金隅中铁诺德（杭州）房地产开发有限公司
住宅,均价 47170元/平,兴茂置业（杭州）有限公司
住宅,均价 24652元/平,杭州金兴房地产开发有限公司
别墅,总价 1284(万/套),杭州盛寅房地产开发有限公司
别墅,总价 283(万/套),杭州碧城置业有限公司
住宅,均价 33300元/平,杭州滨欣房地产开发有限公司
住宅,均价 25200元/平,杭州滨翰房地产开发有限公司
别墅,价格待定,杭州良悦置业有限公司
别墅,总价 836(万/套),杭州滨翰房地产开发有限公司
别墅,总价 2300(万/套),杭州金泓置业有限公司
别墅,总价 500(万/套),杭州碧泰置业有限公司
别墅,价格待定,暂无信息
别墅,价格待定,杭州亚马逊置业有限公司
别墅,价格待定,杭州都成置业有限公司
别墅,价格待定,杭州泓升房地产开发有限公司
别墅,价格待定,杭州恺兴房地产开发有限公司 
商业类,均价 23000元/平,杭州新城美佳房地产开发有限公司
住宅,均价 15000元/平,临安鸿盛房地产开发有限公司
别墅,价格待定,杭州销颖房地产开发有限公司
住宅,价格待定,杭州金渝房地产开发有限公司
别墅,总价 410(万/套),暂无信息
商业类,均价 21000元/平,杭州朗正置业有限公司
住宅,价格待定,杭州融恒置业有限公司
住宅,价格待定,浙江国恒西溪置业有限公司
住宅,总价 283(万/套),杭州东田上庭置业有限公司
住宅,价格待定,暂无信息
别墅,总价 871(万/套),杭州北辰置业有限公司
住宅,总价 628(万/套),杭州融浩置业有限公司
别墅,总价 2400(万/套),暂无信息
住宅,价格待定,杭州丽湖房地产开发有限公司
住宅,价格待定,杭州绿城东和置业有限公司
别墅,总价 469(万/套),杭州龙湖房地产开发有限公司
